symbol,since
0x01,3.8.0
0x02,3.8.0
0x04,3.8.0
0x08,3.8.0
CE_Debug,3.8.0
CE_Failure,3.8.0
CE_Fatal,3.8.0
CE_None,3.8.0
CE_Warning,3.8.0
CPLDestroyXMLNode,3.8.0
CPLES_BackslashQuotable,3.8.0
CPLES_CSV,3.8.0
CPLES_SQL,3.8.0
CPLES_SQLI,3.8.0
CPLES_URL,3.8.0
CPLES_XML,3.8.0
CPLES_XML_BUT_QUOTES,3.8.0
CPLE_AccessDenied,3.12.0
CPLE_AppDefined,3.8.0
CPLE_AssertionFailed,3.8.0
CPLE_BucketNotFound,3.12.0
CPLE_FileIO,3.8.0
CPLE_HttpResponse,3.8.0
CPLE_IllegalArg,3.8.0
CPLE_InvalidCredentials,3.12.0
CPLE_NoWriteAccess,3.8.0
CPLE_None,3.8.0
CPLE_NotSupported,3.8.0
CPLE_ObjectNotFound,3.12.0
CPLE_ObjectNull,3.8.0
CPLE_ObjectStorageGenericError,3.12.0
CPLE_OpenFailed,3.8.0
CPLE_OutOfMemory,3.8.0
CPLE_SignatureDoesNotMatch,3.12.0
CPLE_UserInterrupt,3.8.0
CPLError,3.8.0
CPLErrorReset,3.8.0
CPLFree,3.8.0
CPLGetErrorHandlerUserData,3.8.0
CPLGetXMLValue,3.8.0
CPLParseXMLString,3.8.0
CPLPopErrorHandler,3.8.0
CPLPushErrorHandlerEx,3.8.0
CXT_Attribute,3.8.0
CXT_Comment,3.8.0
CXT_Element,3.8.0
CXT_Literal,3.8.0
CXT_Text,3.8.0
GAAT_BOOLEAN,3.11.0
GAAT_DATASET,3.11.0
GAAT_DATASET_LIST,3.11.0
GAAT_INTEGER,3.11.0
GAAT_INTEGER_LIST,3.11.0
GAAT_REAL,3.11.0
GAAT_REAL_LIST,3.11.0
GAAT_STRING,3.11.0
GAAT_STRING_LIST,3.11.0
GADV_NAME,3.11.0
GADV_OBJECT,3.11.0
GARIO_COMPLETE,3.8.0
GARIO_ERROR,3.8.0
GARIO_PENDING,3.8.0
GARIO_UPDATE,3.8.0
GA_ReadOnly,3.8.0
GA_Update,3.8.0
GCI_AlphaBand,3.8.0
GCI_BlackBand,3.8.0
GCI_BlueBand,3.8.0
GCI_CoastalBand,3.10.0
GCI_CyanBand,3.8.0
GCI_GrayIndex,3.8.0
GCI_GreenBand,3.8.0
GCI_HueBand,3.8.0
GCI_IR_End,3.10.0
GCI_IR_Start,3.10.0
GCI_LWIRBand,3.10.0
GCI_LightnessBand,3.8.0
GCI_MWIRBand,3.10.0
GCI_MagentaBand,3.8.0
GCI_Max,3.8.0
GCI_NIRBand,3.10.0
GCI_OtherIRBand,3.10.0
GCI_PaletteIndex,3.8.0
GCI_PanBand,3.10.0
GCI_RedBand,3.8.0
GCI_RedEdgeBand,3.10.0
GCI_SAR_C_Band,3.10.0
GCI_SAR_End,3.10.0
GCI_SAR_K_Band,3.10.0
GCI_SAR_Ka_Band,3.10.0
GCI_SAR_Ku_Band,3.10.0
GCI_SAR_L_Band,3.10.0
GCI_SAR_P_Band,3.10.0
GCI_SAR_S_Band,3.10.0
GCI_SAR_Start,3.10.0
GCI_SAR_X_Band,3.10.0
GCI_SWIRBand,3.10.0
GCI_SaturationBand,3.8.0
GCI_TIRBand,3.10.0
GCI_Undefined,3.8.0
GCI_YCbCr_CbBand,3.8.0
GCI_YCbCr_CrBand,3.8.0
GCI_YCbCr_YBand,3.8.0
GCI_YellowBand,3.8.0
GDALAddBand,3.8.0
